dataset,source_family,entity_unit,split_seed,base_model,model_seed,acquisition_strategy,adaptation_seed,budget,fit_domain,calibration_method,evaluation_split,schema_version,status,status_reason,actual_entities,positive_labels,negative_labels,n_eval,positive_eval,negative_eval,evaluation_prevalence,auroc,auprc,brier,log_loss,brier_skill_score,log_loss_skill_score,calibration_intercept,calibration_slope,abs_calibration_intercept,abs_calibration_slope_error,ece_15,fitted_calibrator_intercept,fitted_calibrator_slope,unique_input_scores,unique_output_scores,produced_exact_zero,produced_exact_one,single_class_calibration,stable_support_5_per_class,runtime_seconds,config_hash,data_hash,split_hash,sample_hash,commit,timestamp_utc,result_type,conformal_method,score_source,marginal_coverage,class0_coverage,class1_coverage,worst_class_coverage,worst_class_undercoverage,absolute_coverage_error,mean_set_size,empty_set_fraction,singleton_fraction,doubleton_fraction,estimable,finite_threshold
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,25,target,isotonic,target_final_test,stage2_v2,not_estimable,isotonic requires at least 5 labels per class,25,3,22,50000,20062,29938,0.40123999999999999,,,,,,,,,,,,,,,,,,False,,0.00020967423915863037,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,0c7da614f5bbd27a456db37178f3f1068991cac5fadca12a827779439bbe7b4d,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.752295+00:00,probability,,,,,,,,,,,,,,
acsincome_region,acs,person,0,logistic_regression,0,blind_random,15,25,target,isotonic,target_final_test,stage2_v2,not_estimable,isotonic requires at least 5 labels per class,25,2,23,50000,20062,29938,0.40123999999999999,,,,,,,,,,,,,,,,,,False,,0.00020956620573997498,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,d9ceef0dd3e3c8a564c2ffa7a283e583a05357061edda750aea0a9bc3b5dd886,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:18:29.023375+00:00,probability,,,,,,,,,,,,,,
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,25,target,uncalibrated,target_final_test,stage2_v2,not_estimable,Mondrian requires at least 5 labels per class,25,3,22,50000,20062,29938,0.40123999999999999,,,,,,,,,,,,,,,,,,,,0.00017621926963329315,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,0c7da614f5bbd27a456db37178f3f1068991cac5fadca12a827779439bbe7b4d,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.864411+00:00,conformal,mondrian,base_uncalibrated_probability,,,,,,,,,,,False,False
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,25,target,uncalibrated,target_final_test,stage2_v2,not_estimable,Mondrian requires at least 5 labels per class,25,3,22,50000,20062,29938,0.40123999999999999,,,,,,,,,,,,,,,,,,,,0.0001513361930847168,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,0c7da614f5bbd27a456db37178f3f1068991cac5fadca12a827779439bbe7b4d,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.867995+00:00,conformal,mondrian,source_sigmoid_probability,,,,,,,,,,,False,False
acsincome_region,acs,person,0,logistic_regression,0,blind_random,15,25,target,uncalibrated,target_final_test,stage2_v2,not_estimable,Mondrian requires at least 5 labels per class,25,2,23,50000,20062,29938,0.40123999999999999,,,,,,,,,,,,,,,,,,,,0.00017800368368625641,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,d9ceef0dd3e3c8a564c2ffa7a283e583a05357061edda750aea0a9bc3b5dd886,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:18:29.138678+00:00,conformal,mondrian,base_uncalibrated_probability,,,,,,,,,,,False,False
acsincome_region,acs,person,0,logistic_regression,0,blind_random,15,25,target,uncalibrated,target_final_test,stage2_v2,not_estimable,Mondrian requires at least 5 labels per class,25,2,23,50000,20062,29938,0.40123999999999999,,,,,,,,,,,,,,,,,,,,0.00014999136328697205,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,d9ceef0dd3e3c8a564c2ffa7a283e583a05357061edda750aea0a9bc3b5dd886,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:18:29.142241+00:00,conformal,mondrian,source_sigmoid_probability,,,,,,,,,,,False,False
