dataset,source_family,entity_unit,split_seed,base_model,model_seed,acquisition_strategy,adaptation_seed,budget,fit_domain,calibration_method,evaluation_split,schema_version,status,status_reason,actual_entities,positive_labels,negative_labels,n_eval,positive_eval,negative_eval,evaluation_prevalence,auroc,auprc,brier,log_loss,brier_skill_score,log_loss_skill_score,calibration_intercept,calibration_slope,abs_calibration_intercept,abs_calibration_slope_error,ece_15,fitted_calibrator_intercept,fitted_calibrator_slope,unique_input_scores,unique_output_scores,produced_exact_zero,produced_exact_one,single_class_calibration,stable_support_5_per_class,runtime_seconds,config_hash,data_hash,split_hash,sample_hash,commit,timestamp_utc
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,25,target,intercept_only_mle,target_final_test,stage2_v2,success,,25,3,22,50000,20062,29938,0.40123999999999999,0.89790576495914298,0.84822473653604025,0.18743034785728008,0.57163155030043,0.21984138294941191,0.15126650444707612,1.6761399477931245,0.97898214179421306,1.6761399477931245,0.021017858205786943,0.19981945212702015,-1.5394009563049076,,25,25,False,False,False,,0.11492838338017464,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,0c7da614f5bbd27a456db37178f3f1068991cac5fadca12a827779439bbe7b4d,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.517651+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,25,target,sigmoid,target_final_test,stage2_v2,success,,25,3,22,50000,20062,29938,0.40123999999999999,0.89790576495914298,0.84822473653604025,0.18595756135992131,0.74506596825019766,0.22597169797110261,-0.10624132506011263,1.2166911526298401,0.4467458705985643,1.2166911526298401,0.5532541294014357,0.1819876982096551,-2.346650260280192,2.2193899133231212,25,25,False,False,False,False,0.11965911090373993,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,0c7da614f5bbd27a456db37178f3f1068991cac5fadca12a827779439bbe7b4d,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.632627+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,25,target,isotonic,target_final_test,stage2_v2,not_estimable,isotonic requires at least 5 labels per class,25,3,22,50000,20062,29938,0.40123999999999999,,,,,,,,,,,,,,,,,,False,,0.00020967423915863037,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,0c7da614f5bbd27a456db37178f3f1068991cac5fadca12a827779439bbe7b4d,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.752295+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,25,target,jeffreys_smoothed_intercept_matching,target_final_test,stage2_v2,success,,25,3,22,50000,20062,29938,0.40123999999999999,0.89790576495914298,0.84822473653604025,0.17686753704499883,0.53871802320859385,0.26380794423302667,0.20013506827100846,1.5072796631112997,0.97897643351454466,1.5072796631112997,0.021023566485455336,0.18214722534395897,-1.3671195801115015,1,25,25,False,False,False,,0.1084589809179306,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,0c7da614f5bbd27a456db37178f3f1068991cac5fadca12a827779439bbe7b4d,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.752477+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,50,target,intercept_only_mle,target_final_test,stage2_v2,success,,50,19,31,50000,20062,29938,0.40123999999999999,0.89790576495914298,0.84822473653604025,0.13472896334196027,0.41660353372571335,0.43920521452822736,0.38144531516342528,0.58577778675323167,0.97906191768483852,0.58577778675323167,0.020938082315161477,0.074567201746001399,-0.42564411027113686,,50,50,False,False,False,,0.10813053883612156,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,912696766b1aad734ae29d4169956a3561776138ba71d6e4543972abd6722f0b,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.893338+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,50,target,sigmoid,target_final_test,stage2_v2,success,,50,19,31,50000,20062,29938,0.40123999999999999,0.89790576495914298,0.84822473653604025,0.13729109459930508,0.43562910686837925,0.42854061937977117,0.35319697724403287,0.57808339230161832,0.7578388116634901,0.57808339230161832,0.2421611883365099,0.081600796253467889,-0.53972624884462594,1.2918373221460866,50,50,False,False,False,True,0.11270958743989468,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,912696766b1aad734ae29d4169956a3561776138ba71d6e4543972abd6722f0b,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:53.001490+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,50,target,isotonic,target_final_test,stage2_v2,success,,50,19,31,50000,20062,29938,0.40123999999999999,0.87844556166084886,0.81343057479615211,0.14076787952441477,0.84745345944294759,0.41406887694336847,-0.25826178868785554,0.47286695251112631,0.21772890193464911,0.47286695251112631,0.78227109806535089,0.092949691782958449,,,50,7,True,True,False,,0.10860803909599781,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,912696766b1aad734ae29d4169956a3561776138ba71d6e4543972abd6722f0b,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:53.114234+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,50,target,jeffreys_smoothed_intercept_matching,target_final_test,stage2_v2,success,,50,19,31,50000,20062,29938,0.40123999999999999,0.89790576495914298,0.84822473653604025,0.13420294079229098,0.41514631554588255,0.44139472668343027,0.38360892890885456,0.5663304801102772,0.9790585336784704,0.5663304801102772,0.0209414663215296,0.072145106128081393,-0.40577923532139831,1,50,50,False,False,False,,0.10833622887730598,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,912696766b1aad734ae29d4169956a3561776138ba71d6e4543972abd6722f0b,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:53.222910+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,100,target,intercept_only_mle,target_final_test,stage2_v2,success,,100,37,63,50000,20062,29938,0.40123999999999999,0.89790576495914298,0.84822473653604025,0.13406943984853101,0.41477655821224507,0.44195040996977852,0.38415792840707941,0.56129100018069944,0.97905755778559145,0.56129100018069944,0.020942442214408552,0.071516746288273911,-0.40063163069782354,,100,100,False,False,False,,0.10905930958688259,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,b41532b06fd26f1bea0ea1b9e73ffb0cecbb46ceee212456d61519f3541a315d,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:53.370516+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,100,target,sigmoid,target_final_test,stage2_v2,success,,100,37,63,50000,20062,29938,0.40123999999999999,0.89790576495914298,0.84822473653604025,0.13531407992128708,0.42620299694783376,0.43676972984519957,0.36719245250799626,0.53690009985637643,0.79697512472608956,0.53690009985637643,0.20302487527391044,0.074505372518604673,-0.46150763349688678,1.228405258412141,100,100,False,False,False,True,0.11503006145358086,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,b41532b06fd26f1bea0ea1b9e73ffb0cecbb46ceee212456d61519f3541a315d,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:53.479601+00:00
