dataset,source_family,base_model,calibration_method,metric,effect_column,budget,absolute_budget,budget_fraction_of_target_pool,observed_positive_count,observed_negative_count,median,IQR,p05,p95,worst_observed_effect,availability_rate,algorithm_estimability_rate,estimable_rate,any_benefit_rate,any_harm_rate,material_benefit_rate,material_harm_rate,total_attempts,available_attempts,algorithm_estimable_attempts,finite_paired_effects,in_analysis_scope,analysis_scope,equal_task_effect,equal_family_effect,estimable_task_count_at_budget,source_family_count_at_budget,source_file
college_scorecard_2018,college_scorecard,xgboost_cpu,jeffreys_smoothed_intercept_matching,relative_log_loss,relative_delta_log_loss,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,intercept_only_mle,brier_skill,delta_brier_skill,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,sigmoid,brier_skill,delta_brier_skill,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,isotonic,brier_skill,delta_brier_skill,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,jeffreys_smoothed_intercept_matching,brier_skill,delta_brier_skill,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,intercept_only_mle,brier_skill,delta_brier_skill,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,sigmoid,brier_skill,delta_brier_skill,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,isotonic,brier_skill,delta_brier_skill,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,jeffreys_smoothed_intercept_matching,brier_skill,delta_brier_skill,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,intercept_only_mle,abs_calibration_intercept,delta_abs_calibration_intercept,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,sigmoid,abs_calibration_intercept,delta_abs_calibration_intercept,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,isotonic,abs_calibration_intercept,delta_abs_calibration_intercept,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,jeffreys_smoothed_intercept_matching,abs_calibration_intercept,delta_abs_calibration_intercept,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,intercept_only_mle,abs_calibration_intercept,delta_abs_calibration_intercept,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,sigmoid,abs_calibration_intercept,delta_abs_calibration_intercept,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,isotonic,abs_calibration_intercept,delta_abs_calibration_intercept,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,jeffreys_smoothed_intercept_matching,abs_calibration_intercept,delta_abs_calibration_intercept,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,intercept_only_mle,abs_calibration_slope_error,delta_abs_calibration_slope_error,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,sigmoid,abs_calibration_slope_error,delta_abs_calibration_slope_error,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,isotonic,abs_calibration_slope_error,delta_abs_calibration_slope_error,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,jeffreys_smoothed_intercept_matching,abs_calibration_slope_error,delta_abs_calibration_slope_error,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,intercept_only_mle,abs_calibration_slope_error,delta_abs_calibration_slope_error,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,sigmoid,abs_calibration_slope_error,delta_abs_calibration_slope_error,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,isotonic,abs_calibration_slope_error,delta_abs_calibration_slope_error,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,jeffreys_smoothed_intercept_matching,abs_calibration_slope_error,delta_abs_calibration_slope_error,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,intercept_only_mle,log_loss,delta_log_loss,25,25,0.2403846153846154,17.0,8.0,-0.004461349681551485,0.10003015288581452,-0.22771663060589978,0.07275361001285846,-0.47537477154729957,1.0,1.0,1.0,0.47,0.53,0.38666666666666666,0.4633333333333333,300.0,300.0,300.0,300.0,True,college_stress,-0.004461349681551485,-0.004461349681551485,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,sigmoid,log_loss,delta_log_loss,25,25,0.2403846153846154,17.0,8.0,0.10980772868137695,0.20702444100570488,-0.16050642127918918,0.25333623170996833,-3.5428223221213337,1.0,1.0,1.0,0.7433333333333333,0.25666666666666665,0.7266666666666667,0.24333333333333335,300.0,300.0,300.0,300.0,True,college_stress,0.10980772868137695,0.10980772868137695,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,isotonic,log_loss,delta_log_loss,25,25,0.2403846153846154,17.0,8.0,0.22967133956340213,0.8577215031386308,-1.0580617221569382,0.6619914088583715,-1.720808082275961,1.0,0.9266666666666666,0.9266666666666666,0.6115107913669064,0.38848920863309355,0.60431654676259,0.381294964028777,300.0,300.0,278.0,278.0,True,college_stress,0.22967133956340213,0.22967133956340213,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,jeffreys_smoothed_intercept_matching,log_loss,delta_log_loss,25,25,0.2403846153846154,17.0,8.0,0.002091384363581472,0.08998705751096894,-0.21836197751761993,0.07206827585484475,-0.4629687490755956,1.0,1.0,1.0,0.5133333333333333,0.4866666666666667,0.41333333333333333,0.44,300.0,300.0,300.0,300.0,True,college_stress,0.002091384363581472,0.002091384363581472,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,intercept_only_mle,log_loss,delta_log_loss,50,50,0.4807692307692308,34.0,16.0,0.006204699006857939,0.08443015256346123,-0.1636913021492496,0.052843339606730426,-0.264923895217561,1.0,1.0,1.0,0.5366666666666666,0.4633333333333333,0.48,0.41333333333333333,300.0,300.0,300.0,300.0,True,college_stress,0.006204699006857939,0.006204699006857939,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,sigmoid,log_loss,delta_log_loss,50,50,0.4807692307692308,34.0,16.0,0.16765997444146974,0.16485198400435974,-0.020566197910012057,0.24199677445452364,-0.09721647526701338,1.0,1.0,1.0,0.91,0.09,0.8933333333333333,0.08333333333333333,300.0,300.0,300.0,300.0,True,college_stress,0.16765997444146974,0.16765997444146974,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,isotonic,log_loss,delta_log_loss,50,50,0.4807692307692308,34.0,16.0,0.29781111232710444,0.4111803191141551,-0.42386887556783814,0.6499760289487506,-1.0772036307947672,1.0,1.0,1.0,0.79,0.21,0.79,0.20666666666666667,300.0,300.0,300.0,300.0,True,college_stress,0.29781111232710444,0.29781111232710444,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,jeffreys_smoothed_intercept_matching,log_loss,delta_log_loss,50,50,0.4807692307692308,34.0,16.0,0.010610780783219309,0.08155194342916497,-0.16228848796510786,0.055861469621924786,-0.2640370677696402,1.0,1.0,1.0,0.5566666666666666,0.44333333333333336,0.5066666666666667,0.41333333333333333,300.0,300.0,300.0,300.0,True,college_stress,0.010610780783219309,0.010610780783219309,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,intercept_only_mle,log_loss,delta_log_loss,100,100,0.9615384615384616,68.0,32.0,0.007162500645773617,0.0897577291457951,-0.07672957091407853,0.027332832666263036,-0.0805677906060116,1.0,1.0,1.0,0.5966666666666667,0.4033333333333333,0.4766666666666667,0.3566666666666667,300.0,300.0,300.0,300.0,True,college_stress,0.007162500645773617,0.007162500645773617,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,sigmoid,log_loss,delta_log_loss,100,100,0.9615384615384616,68.0,32.0,0.19608869681218571,0.1795146315681506,0.02584660929550379,0.22687372128088448,-0.00846499744332263,1.0,1.0,1.0,0.9933333333333333,0.006666666666666667,0.9866666666666667,0.0033333333333333335,300.0,300.0,300.0,300.0,True,college_stress,0.19608869681218571,0.19608869681218571,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
