dataset,source_family,split_seed,base_model,model_seed,delta_auroc,delta_brier,delta_log_loss,task_label,model_label,source_file
college_scorecard_2018,college_scorecard,1,logistic_regression,0,-0.2660443990680385,0.1140511976950183,0.3997555590880565,College Scorecard,Logistic regression,results/stage2de/h4_probability_pairs.parquet
college_scorecard_2018,college_scorecard,1,xgboost_cpu,0,-0.2028629021702138,0.0869020901761322,0.2496455251591202,College Scorecard,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
college_scorecard_2018,college_scorecard,1,xgboost_cpu,1,-0.2031817586847822,0.0890581270168924,0.259583750256933,College Scorecard,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
college_scorecard_2018,college_scorecard,2,logistic_regression,0,-0.2578863324175825,0.1269848103578522,0.5898047249191709,College Scorecard,Logistic regression,results/stage2de/h4_probability_pairs.parquet
college_scorecard_2018,college_scorecard,2,xgboost_cpu,0,-0.1497853708791209,0.088191098830353,0.2527433042604209,College Scorecard,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
college_scorecard_2018,college_scorecard,2,xgboost_cpu,1,-0.1611452609890109,0.0904429573720361,0.2638256773735218,College Scorecard,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
diabetes_readmission_patient_index,uci_diabetes,0,logistic_regression,0,-0.0257074310295527,0.0190418990300776,0.043206258642926,Diabetes Readmission,Logistic regression,results/stage2de/h4_probability_pairs.parquet
diabetes_readmission_patient_index,uci_diabetes,0,xgboost_cpu,0,-0.0229961944848365,0.018188470197733,0.039922014197161,Diabetes Readmission,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
diabetes_readmission_patient_index,uci_diabetes,0,xgboost_cpu,1,-0.0237962589152752,0.0179754735518379,0.0395607584924834,Diabetes Readmission,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
diabetes_readmission_patient_index,uci_diabetes,1,logistic_regression,0,-0.0106230877436096,0.0133013389586938,0.029584617200106,Diabetes Readmission,Logistic regression,results/stage2de/h4_probability_pairs.parquet
diabetes_readmission_patient_index,uci_diabetes,1,xgboost_cpu,0,-0.0138311351991375,0.0122649731940115,0.0267926796968528,Diabetes Readmission,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
