budget,delta_absolute_coverage_error,delta_doubleton_fraction,delta_marginal_coverage,delta_mean_set_size,delta_worst_class_coverage,delta_worst_class_undercoverage,mondrian_estimable_rate,mondrian_finite_threshold_rate,source_file,finite_delta_worst_class_coverage,finite_delta_mean_set_size,finite_raw_pair_count,finite_task_count,finite_task_model_cells,finite_subset_definition
25,-0.0016354974946319,0.327783289153194,-0.0084702006561219,0.327953289153194,0.1285489792556212,-0.0996014586382999,0.6446666666666666,0.3006666666666667,results/stage2ds/H5_ADJUDICATION_SUMMARY.json,0.027534557517261644,0.001286082056848048,1353,4,8,joint-success Mondrian-finite pairs; median within task-model then equal mean across available cells
50,0.0022962775019274,0.346517887813625,0.0083104014722231,0.346894887813625,0.2876415168913621,-0.2686444112606992,0.8726666666666667,0.682,results/stage2ds/H5_ADJUDICATION_SUMMARY.json,0.20444610173501107,0.1984115788497786,3069,5,10,joint-success Mondrian-finite pairs; median within task-model then equal mean across available cells
100,0.001758852110935,0.2775661906510385,0.0083871720639328,0.2842744993413281,0.3420109041544658,-0.3328413652534481,0.9826666666666666,0.892,results/stage2ds/H5_ADJUDICATION_SUMMARY.json,0.31670867145401227,0.22265572088016555,4014,5,10,joint-success Mondrian-finite pairs; median within task-model then equal mean across available cells
250,0.0005512294837108,0.2029927707001717,0.0037906787507308,0.2068807433635262,0.3505280525439989,-0.346122045298996,1.0,0.9993333333333334,results/stage2ds/H5_ADJUDICATION_SUMMARY.json,0.35052805254399894,0.20676078000349296,4497,5,10,joint-success Mondrian-finite pairs; median within task-model then equal mean across available cells
500,0.0001518503522356,0.1923158376367206,0.0029422097420345,0.1974865842913523,0.3541401227020362,-0.3520574419667205,1.0,1.0,results/stage2ds/H5_ADJUDICATION_SUMMARY.json,0.35414012270203626,0.19748658429135238,4500,5,10,joint-success Mondrian-finite pairs; median within task-model then equal mean across available cells
