base_model,calibration_method,budget,metric,effect_column,left_out_dataset,estimate,retained_unit_count,source_file
logistic_regression,jeffreys_smoothed_intercept_matching,0,abs_calibration_intercept,delta_abs_calibration_intercept,nhanes_lead,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
xgboost_cpu,intercept_only_mle,0,abs_calibration_intercept,delta_abs_calibration_intercept,acsfoodstamps_household,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
xgboost_cpu,intercept_only_mle,0,abs_calibration_intercept,delta_abs_calibration_intercept,acsincome_region,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
xgboost_cpu,intercept_only_mle,0,abs_calibration_intercept,delta_abs_calibration_intercept,brfss_diabetes,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
xgboost_cpu,intercept_only_mle,0,abs_calibration_intercept,delta_abs_calibration_intercept,diabetes_readmission_patient_index,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
xgboost_cpu,intercept_only_mle,0,abs_calibration_intercept,delta_abs_calibration_intercept,nhanes_lead,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
xgboost_cpu,sigmoid,0,abs_calibration_intercept,delta_abs_calibration_intercept,acsfoodstamps_household,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
xgboost_cpu,sigmoid,0,abs_calibration_intercept,delta_abs_calibration_intercept,acsincome_region,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
xgboost_cpu,sigmoid,0,abs_calibration_intercept,delta_abs_calibration_intercept,brfss_diabetes,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
xgboost_cpu,sigmoid,0,abs_calibration_intercept,delta_abs_calibration_intercept,diabetes_readmission_patient_index,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
xgboost_cpu,sigmoid,0,abs_calibration_intercept,delta_abs_calibration_intercept,nhanes_lead,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
xgboost_cpu,isotonic,0,abs_calibration_intercept,delta_abs_calibration_intercept,acsfoodstamps_household,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
xgboost_cpu,isotonic,0,abs_calibration_intercept,delta_abs_calibration_intercept,acsincome_region,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
xgboost_cpu,isotonic,0,abs_calibration_intercept,delta_abs_calibration_intercept,brfss_diabetes,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
xgboost_cpu,isotonic,0,abs_calibration_intercept,delta_abs_calibration_intercept,diabetes_readmission_patient_index,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
xgboost_cpu,isotonic,0,abs_calibration_intercept,delta_abs_calibration_intercept,nhanes_lead,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
xgboost_cpu,jeffreys_smoothed_intercept_matching,0,abs_calibration_intercept,delta_abs_calibration_intercept,acsfoodstamps_household,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
xgboost_cpu,jeffreys_smoothed_intercept_matching,0,abs_calibration_intercept,delta_abs_calibration_intercept,acsincome_region,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
xgboost_cpu,jeffreys_smoothed_intercept_matching,0,abs_calibration_intercept,delta_abs_calibration_intercept,brfss_diabetes,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
xgboost_cpu,jeffreys_smoothed_intercept_matching,0,abs_calibration_intercept,delta_abs_calibration_intercept,diabetes_readmission_patient_index,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
xgboost_cpu,jeffreys_smoothed_intercept_matching,0,abs_calibration_intercept,delta_abs_calibration_intercept,nhanes_lead,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
logistic_regression,intercept_only_mle,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,acsfoodstamps_household,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
logistic_regression,intercept_only_mle,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,acsincome_region,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
logistic_regression,intercept_only_mle,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,brfss_diabetes,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
logistic_regression,intercept_only_mle,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,diabetes_readmission_patient_index,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
logistic_regression,intercept_only_mle,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,nhanes_lead,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
logistic_regression,sigmoid,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,acsfoodstamps_household,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
logistic_regression,sigmoid,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,acsincome_region,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
logistic_regression,sigmoid,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,brfss_diabetes,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
logistic_regression,sigmoid,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,diabetes_readmission_patient_index,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
logistic_regression,sigmoid,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,nhanes_lead,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
logistic_regression,isotonic,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,acsfoodstamps_household,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
logistic_regression,isotonic,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,acsincome_region,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
logistic_regression,isotonic,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,brfss_diabetes,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
logistic_regression,isotonic,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,diabetes_readmission_patient_index,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
logistic_regression,isotonic,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,nhanes_lead,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
logistic_regression,jeffreys_smoothed_intercept_matching,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,acsfoodstamps_household,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
logistic_regression,jeffreys_smoothed_intercept_matching,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,acsincome_region,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
logistic_regression,jeffreys_smoothed_intercept_matching,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,brfss_diabetes,0.0,4,results/stage2de/h3_leave_one_task_out.parquet
