base_model,calibration_method,budget,metric,effect_column,left_out_source_family,estimate,retained_unit_count,source_file
logistic_regression,sigmoid,0,abs_calibration_intercept,delta_abs_calibration_intercept,uci_diabetes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,isotonic,0,abs_calibration_intercept,delta_abs_calibration_intercept,acs,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,isotonic,0,abs_calibration_intercept,delta_abs_calibration_intercept,brfss,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,isotonic,0,abs_calibration_intercept,delta_abs_calibration_intercept,nhanes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,isotonic,0,abs_calibration_intercept,delta_abs_calibration_intercept,uci_diabetes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,jeffreys_smoothed_intercept_matching,0,abs_calibration_intercept,delta_abs_calibration_intercept,acs,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,jeffreys_smoothed_intercept_matching,0,abs_calibration_intercept,delta_abs_calibration_intercept,brfss,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,jeffreys_smoothed_intercept_matching,0,abs_calibration_intercept,delta_abs_calibration_intercept,nhanes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,jeffreys_smoothed_intercept_matching,0,abs_calibration_intercept,delta_abs_calibration_intercept,uci_diabetes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,intercept_only_mle,0,abs_calibration_intercept,delta_abs_calibration_intercept,acs,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,intercept_only_mle,0,abs_calibration_intercept,delta_abs_calibration_intercept,brfss,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,intercept_only_mle,0,abs_calibration_intercept,delta_abs_calibration_intercept,nhanes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,intercept_only_mle,0,abs_calibration_intercept,delta_abs_calibration_intercept,uci_diabetes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,sigmoid,0,abs_calibration_intercept,delta_abs_calibration_intercept,acs,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,sigmoid,0,abs_calibration_intercept,delta_abs_calibration_intercept,brfss,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,sigmoid,0,abs_calibration_intercept,delta_abs_calibration_intercept,nhanes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,sigmoid,0,abs_calibration_intercept,delta_abs_calibration_intercept,uci_diabetes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,isotonic,0,abs_calibration_intercept,delta_abs_calibration_intercept,acs,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,isotonic,0,abs_calibration_intercept,delta_abs_calibration_intercept,brfss,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,isotonic,0,abs_calibration_intercept,delta_abs_calibration_intercept,nhanes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,isotonic,0,abs_calibration_intercept,delta_abs_calibration_intercept,uci_diabetes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,jeffreys_smoothed_intercept_matching,0,abs_calibration_intercept,delta_abs_calibration_intercept,acs,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,jeffreys_smoothed_intercept_matching,0,abs_calibration_intercept,delta_abs_calibration_intercept,brfss,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,jeffreys_smoothed_intercept_matching,0,abs_calibration_intercept,delta_abs_calibration_intercept,nhanes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,jeffreys_smoothed_intercept_matching,0,abs_calibration_intercept,delta_abs_calibration_intercept,uci_diabetes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,intercept_only_mle,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,acs,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,intercept_only_mle,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,brfss,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,intercept_only_mle,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,nhanes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,intercept_only_mle,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,uci_diabetes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,sigmoid,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,acs,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,sigmoid,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,brfss,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,sigmoid,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,nhanes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,sigmoid,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,uci_diabetes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,isotonic,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,acs,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,isotonic,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,brfss,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,isotonic,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,nhanes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,isotonic,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,uci_diabetes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,jeffreys_smoothed_intercept_matching,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,acs,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,jeffreys_smoothed_intercept_matching,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,brfss,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,jeffreys_smoothed_intercept_matching,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,nhanes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,jeffreys_smoothed_intercept_matching,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,uci_diabetes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,intercept_only_mle,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,acs,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,intercept_only_mle,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,brfss,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,intercept_only_mle,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,nhanes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,intercept_only_mle,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,uci_diabetes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,sigmoid,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,acs,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,sigmoid,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,brfss,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,sigmoid,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,nhanes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,sigmoid,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,uci_diabetes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,isotonic,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,acs,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,isotonic,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,brfss,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,isotonic,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,nhanes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,isotonic,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,uci_diabetes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,jeffreys_smoothed_intercept_matching,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,acs,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,jeffreys_smoothed_intercept_matching,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,brfss,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
